,POSITION,LOC_X,LOC_Y,PLAYER_NAME,QUARTER,EVENT_TYPE
0,SG,239.0,169.0,Dwyane Wade,1,SCORED
1,PF,64.0,215.0,Taj Gibson,1,MISSED
2,PG,67.0,259.0,Rajon Rondo,1,MISSED
3,C,102.0,243.0,Robin Lopez,1,MISSED
4,SG,241.0,210.0,Dwyane Wade,1,MISSED
5,SG,239.0,351.0,Jimmy Butler,1,MISSED
6,PF,215.0,172.0,Taj Gibson,1,SCORED
7,PF,77.0,282.0,Taj Gibson,1,SCORED
8,SG,36.0,23.0,Jimmy Butler,1,SCORED
9,PF,177.0,260.0,Taj Gibson,1,SCORED
10,SG,128.0,369.0,Jimmy Butler,1,MISSED
11,C,67.0,246.0,Robin Lopez,1,SCORED
12,SG,254.0,112.0,Dwyane Wade,1,SCORED
13,C,52.0,250.0,Robin Lopez,1,SCORED
14,SG,62.0,225.0,Jimmy Butler,1,BLOCKED
15,C,146.0,401.0,Robin Lopez,1,MISSED
16,PG,293.0,332.0,Rajon Rondo,1,SCORED
17,C,72.0,174.0,Robin Lopez,1,MISSED
20,SG,166.0,103.0,Dwyane Wade,1,MISSED
21,PF,72.0,264.0,Nikola Mirotic,1,SCORED
22,SG,52.0,250.0,Dwyane Wade,1,MISSED
25,SG,298.0,316.0,Dwyane Wade,2,SCORED
27,PF,58.0,225.0,Nikola Mirotic,2,SCORED
29,PF,229.0,72.0,Nikola Mirotic,2,MISSED
30,PF,58.0,15.0,Nikola Mirotic,2,MISSED
32,PF,72.0,251.0,Nikola Mirotic,2,SCORED
33,SG,107.0,241.0,Jimmy Butler,2,BLOCKED
34,PF,304.0,245.0,Nikola Mirotic,2,MISSED
35,PF,62.0,233.0,Taj Gibson,2,BLOCKED
36,PF,58.0,228.0,Taj Gibson,2,MISSED
37,SG,293.0,295.0,Jimmy Butler,2,SCORED
38,SG,55.0,263.0,Jimmy Butler,2,MISSED
39,PF,229.0,194.0,Taj Gibson,2,MISSED
40,PG,215.0,143.0,Rajon Rondo,2,MISSED
41,PG,62.0,270.0,Rajon Rondo,2,MISSED
42,SG,300.0,243.0,Dwyane Wade,2,SCORED
43,SG,279.0,323.0,Dwyane Wade,2,MISSED
44,SG,58.0,225.0,Dwyane Wade,2,SCORED
45,PF,53.0,262.0,Taj Gibson,2,SCORED
